raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
945,830,5,11,16,0.0,54,0 days 00:00:00,0.0,40.0,6.0,0 days 00:01:45.746000,189.079,11
945,4,1,16,17,0.0,53,0 days 00:00:00,0.0,52.0,3.0,0 days 00:01:44.796000,190.793,12
945,829,209,19,18,0.0,53,0 days 00:00:00,0.0,53.0,18.0,0 days 00:01:49.610000,182.414,12
945,833,209,20,19,0.0,52,0 days 00:00:00,0.0,26.0,19.0,0 days 00:01:51.213000,179.784,13
945,813,208,13,20,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,188.2993354037267,4
948,3,131,2,1,25.0,57,0 days 01:48:15.565000,6495565.0,21.0,3.0,0 days 00:01:30.557000,210.815,1
948,1,131,1,2,18.0,57,0 days 01:48:23.625000,6503625.0,48.0,4.0,0 days 00:01:30.646000,210.608,1
948,20,6,3,3,15.0,57,0 days 01:48:25.208000,6505208.0,23.0,2.0,0 days 00:01:29.951000,212.235,1
948,817,9,8,4,12.0,57,0 days 01:48:39.895000,6519895.0,49.0,1.0,0 days 00:01:28.997000,214.51,1
948,13,3,6,5,10.0,57,0 days 01:49:14.544000,6554544.0,39.0,9.0,0 days 00:01:32.288000,206.861,1
948,154,210,19,6,8.0,57,0 days 01:49:27.646000,6567646.0,48.0,17.0,0 days 00:01:32.862000,205.582,1
948,807,10,10,7,6.0,57,0 days 01:49:29.764000,6569764.0,49.0,16.0,0 days 00:01:32.833000,205.646,1
948,822,3,16,8,4.0,57,0 days 01:49:30.718000,6570718.0,51.0,14.0,0 days 00:01:32.725000,205.886,1
948,832,5,7,9,2.0,57,0 days 01:49:31.245000,6571245.0,23.0,7.0,0 days 00:01:31.671000,208.253,1
948,830,5,5,10,1.0,57,0 days 01:49:32.398000,6572398.0,44.0,6.0,0 days 00:01:31.516000,208.606,1
948,835,4,13,11,0.0,57,0 days 01:49:38.964000,6578964.0,14.0,18.0,0 days 00:01:32.955000,205.376,1
948,825,4,14,12,0.0,57,0 days 01:49:41.171000,6581171.0,45.0,10.0,0 days 00:01:32.452000,206.494,1
948,815,10,9,13,0.0,57,0 days 01:49:47.264000,6587264.0,39.0,15.0,0 days 00:01:32.780000,205.764,1
948,18,1,12,14,0.0,56,0 days 00:00:00,0.0,33.0,8.0,0 days 00:01:31.684000,208.223,11
948,831,15,17,15,0.0,56,0 days 00:00:00,0.0,48.0,13.0,0 days 00:01:32.711000,205.917,11
948,836,209,21,16,0.0,56,0 days 00:00:00,0.0,34.0,12.0,0 days 00:01:32.673000,206.001,11
948,828,15,15,17,0.0,38,0 days 00:00:00,0.0,15.0,21.0,0 days 00:01:33.892000,203.327,5
948,8,6,4,18,0.0,21,0 days 00:00:00,0.0,21.0,5.0,0 days 00:01:30.701000,210.48,5
948,837,209,22,19,0.0,17,0 days 00:00:00,0.0,15.0,20.0,0 days 00:01:33.847000,203.424,26
948,821,210,20,20,0.0,16,0 days 00:00:00,0.0,4.0,19.0,0 days 00:01:32.998000,205.281,4
948,4,1,11,21,0.0,16,0 days 00:00:00,0.0,14.0,11.0,0 days 00:01:32.553000,206.268,4
948,826,9,18,22,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,192.83868333333334,31
949,3,131,2,1,25.0,57,0 days 01:33:34.696000,5614696.0,41.0,1.0,0 days 00:01:34.482000,206.21,1
949,8,6,4,2,18.0,57,0 days 01:33:44.978000,5624978.0,39.0,3.0,0 days 00:01:35.158000,204.745,1
949,1,131,1,3,15.0,57,0 days 01:34:04.844000,5644844.0,43.0,2.0,0 days 00:01:34.677000,205.785,1
949,817,9,5,4,12.0,57,0 days 01:34:37.190000,5677190.0,44.0,9.0,0 days 00:01:36.064000,202.814,1
949,154,210,9,5,10.0,57,0 days 01:34:52.995000,5692995.0,42.0,11.0,0 days 00:01:36.095000,202.749,1
949,830,5,10,6,8.0,57,0 days 01:34:55.625000,5695625.0,49.0,7.0,0 days 00:01:35.504000,204.004,1
949,826,9,15,7,6.0,56,0 days 00:00:00,0.0,36.0,8.0,0 days 00:01:35.678000,203.633,11
949,13,3,7,8,4.0,56,0 days 00:00:00,0.0,31.0,16.0,0 days 00:01:37.560000,199.704,11
949,822,3,6,9,2.0,56,0 days 00:00:00,0.0,37.0,15.0,0 days 00:01:37.077000,200.698,11
949,838,1,12,10,1.0,56,0 days 00:00:00,0.0,44.0,12.0,0 days 00:01:36.121000,202.694,11
949,825,4,22,11,0.0,56,0 days 00:00:00,0.0,40.0,14.0,0 days 00:01:36.730000,201.418,11
949,828,15,17,12,0.0,56,0 days 00:00:00,0.0,32.0,17.0,0 days 00:01:38.003000,198.802,11
949,836,209,16,13,0.0,56,0 days 00:00:00,0.0,43.0,6.0,0 days 00:01:35.448000,204.123,11
949,831,15,21,14,0.0,56,0 days 00:00:00,0.0,49.0,5.0,0 days 00:01:35.360000,204.312,11
949,807,10,8,15,0.0,56,0 days 00:00:00,0.0,53.0,4.0,0 days 00:01:35.188000,204.681,11
949,815,10,18,16,0.0,56,0 days 00:00:00,0.0,39.0,10.0,0 days 00:01:36.067000,202.808,11
949,837,209,20,17,0.0,56,0 days 00:00:00,0.0,47.0,13.0,0 days 00:01:36.685000,201.512,11
949,832,5,11,18,0.0,29,0 days 00:00:00,0.0,22.0,18.0,0 days 00:01:38.408000,197.983,31
949,821,210,13,19,0.0,9,0 days 00:00:00,0.0,2.0,19.0,0 days 00:01:39.341000,196.124,31
949,18,1,14,20,0.0,6,0 days 00:00:00,0.0,3.0,20.0,0 days 00:01:39.427000,195.954,131
949,20,6,3,21,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,202.0206,5
949,835,4,19,22,0.0,0,0 days 00:00:00,0.0,0.0,0.0,0 days 00:00:00,195.30224675324675,9
950,3,131,1,1,25.0,56,0 days 01:38:53.891000,5933891.0,38.0,6.0,0 days 00:01:40.418000,195.419,1
950,20,6,4,2,18.0,56,0 days 01:39:31.667000,5971667.0,37.0,9.0,0 days 00:01:40.610000,195.046,1
950,826,9,6,3,15.0,56,0 days 01:39:39.827000,5979827.0,38.0,14.0,0 days 00:01:41.546000,193.248,1
950,817,9,2,4,12.0,56,0 days 01:39:46.579000,5986579.0,55.0,11.0,0 days 00:01:41.015000,194.264,1
950,8,6,3,5,10.0,56,0 days 01:39:59.763000,5999763.0,40.0,8.0,0 days 00:01:40.593000,195.079,1
950,13,3,10,6,8.0,56,0 days 01:40:09.402000,6009402.0,34.0,16.0,0 days 00:01:41.815000,192.737,1
950,1,131,22,7,6.0,56,0 days 01:40:12.121000,6012121.0,32.0,10.0,0 days 00:01:40.662000,194.945,1
950,830,5,9,8,4.0,56,0 days 01:40:13.159000,6013159.0,41.0,5.0,0 days 00:01:40.399000,195.456,1
950,832,5,8,9,2.0,56,0 days 01:40:18.018000,6018018.0,35.0,12.0,0 days 00:01:41.485000,193.364,1
950,822,3,5,10,1.0,56,0 days 01:40:20.083000,6020083.0,23.0,15.0,0 days 00:01:41.558000,193.225,1
950,815,10,7,11,0.0,56,0 days 01:40:28.174000,6028174.0,30.0,17.0,0 days 00:01:41.846000,192.679,1
950,4,1,11,12,0.0,56,0 days 01:40:31.144000,6031144.0,36.0,19.0,0 days 00:01:42.226000,191.962,1
950,18,1,12,13,0.0,56,0 days 01:40:35.881000,6035881.0,46.0,3.0,0 days 00:01:40.298000,195.652,1
950,821,210,18,14,0.0,55,0 days 00:00:00,0.0,45.0,4.0,0 days 00:01:40.368000,195.516,11
950,807,10,13,15,0.0,55,0 days 00:00:00,0.0,48.0,1.0,0 days 00:01:39.824000,196.581,11
950,828,15,15,16,0.0,55,0 days 00:00:00,0.0,41.0,22.0,0 days 00:01:43.269000,190.024,11
950,825,4,17,17,0.0,55,0 days 00:00:00,0.0,22.0,21.0,0 days 00:01:42.311000,191.803,11
950,836,209,21,18,0.0,55,0 days 00:00:00,0.0,48.0,13.0,0 days 00:01:41.489000,193.356,11
950,154,210,14,19,0.0,55,0 days 00:00:00,0.0,47.0,2.0,0 days 00:01:39.923000,196.387,11
950,831,15,16,20,0.0,55,0 days 00:00:00,0.0,42.0,7.0,0 days 00:01:40.582000,195.1,11
950,837,209,20,21,0.0,55,0 days 00:00:00,0.0,42.0,18.0,0 days 00:01:42.009000,192.371,11
950,835,4,19,22,0.0,55,0 days 00:00:00,0.0,26.0,20.0,0 days 00:01:42.232000,191.951,11
951,3,131,1,1,25.0,53,0 days 01:32:41.997000,5561997.0,52.0,1.0,0 days 00:01:39.094000,212.452,1
951,1,131,10,2,18.0,53,0 days 01:33:07.019000,5587019.0,36.0,4.0,0 days 00:01:40.266000,209.969,1
