raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
1071,853,210,19,20,0,24,0 days 00:30:17.033000,1817033.0,6.0,0 days 00:01:14.583000,1
1077,830,9,1,1,8,21,0 days 00:30:39.567000,1839567.0,14.0,0 days 00:01:19.154000,1
1077,844,6,2,2,7,21,0 days 00:30:42.542000,1842542.0,11.0,0 days 00:01:19.044000,1
1077,815,9,7,3,6,21,0 days 00:30:44.288000,1844288.0,14.0,0 days 00:01:19.012000,1
1077,832,6,10,4,5,21,0 days 00:30:57.145000,1857145.0,14.0,0 days 00:01:19.251000,1
1077,846,1,3,5,4,21,0 days 00:31:04.128000,1864128.0,9.0,0 days 00:01:20.030000,1
1077,817,1,6,6,3,21,0 days 00:31:07.307000,1867307.0,12.0,0 days 00:01:20.328000,1
1077,822,51,8,7,2,21,0 days 00:31:07.700000,1867700.0,9.0,0 days 00:01:20.219000,1
1077,825,210,4,8,1,21,0 days 00:31:10.279000,1870279.0,6.0,0 days 00:01:20.557000,1
1077,4,214,5,9,0,21,0 days 00:31:11.845000,1871845.0,10.0,0 days 00:01:20.639000,1
1077,854,210,12,10,0,21,0 days 00:31:13.340000,1873340.0,15.0,0 days 00:01:20.567000,1
1077,847,131,11,11,0,21,0 days 00:31:15.851000,1875851.0,19.0,0 days 00:01:20.756000,1
1077,852,213,16,12,0,21,0 days 00:31:17.865000,1877865.0,20.0,0 days 00:01:20.909000,1
1077,20,117,9,13,0,21,0 days 00:31:19.744000,1879744.0,8.0,0 days 00:01:21.044000,1
1077,1,131,13,14,0,21,0 days 00:31:21.026000,1881026.0,9.0,0 days 00:01:20.663000,1
1077,840,117,15,15,0,21,0 days 00:31:22.477000,1882477.0,14.0,0 days 00:01:20.948000,1
1077,839,214,19,16,0,21,0 days 00:31:23.084000,1883084.0,14.0,0 days 00:01:20.995000,1
1077,842,213,17,17,0,21,0 days 00:31:23.361000,1883361.0,18.0,0 days 00:01:20.599000,1
1077,848,3,20,18,0,21,0 days 00:31:28.438000,1888438.0,14.0,0 days 00:01:21.020000,1
1077,849,3,18,19,0,21,0 days 00:31:31.584000,1891584.0,16.0,0 days 00:01:21.437000,1
1077,855,51,0,20,0,0,0 days 00:00:00,0.0,0.0,0 days 00:00:00,31
1084,830,9,1,1,8,23,0 days 00:26:30.059000,1590059.0,5.0,0 days 00:01:08.455000,1
1084,844,6,2,2,7,23,0 days 00:26:31.734000,1591734.0,4.0,0 days 00:01:08.321000,1
1084,832,6,3,3,6,23,0 days 00:26:35.703000,1595703.0,4.0,0 days 00:01:08.409000,1
1084,847,131,4,4,5,23,0 days 00:26:43.488000,1603488.0,4.0,0 days 00:01:08.979000,1
1084,815,9,13,5,4,23,0 days 00:26:48.361000,1608361.0,14.0,0 days 00:01:09.137000,1
1084,839,214,5,6,3,23,0 days 00:27:01.091000,1621091.0,4.0,0 days 00:01:09.384000,1
1084,825,210,6,7,2,23,0 days 00:27:04.598000,1624598.0,4.0,0 days 00:01:09.232000,1
1084,1,131,9,8,1,23,0 days 00:27:05.506000,1625506.0,7.0,0 days 00:01:09.516000,1
1084,854,210,7,9,0,23,0 days 00:27:07.222000,1627222.0,4.0,0 days 00:01:09.457000,1
1084,822,51,12,10,0,23,0 days 00:27:07.616000,1627616.0,4.0,0 days 00:01:09.674000,1
1084,846,1,15,11,0,23,0 days 00:27:08.639000,1628639.0,8.0,0 days 00:01:09.909000,1
1084,817,1,16,12,0,23,0 days 00:27:09.797000,1629797.0,8.0,0 days 00:01:09.996000,1
1084,840,117,17,13,0,23,0 days 00:27:18.300000,1638300.0,4.0,0 days 00:01:10.295000,1
1084,855,51,18,14,0,23,0 days 00:27:20.812000,1640812.0,11.0,0 days 00:01:10.165000,1
1084,842,213,10,15,0,23,0 days 00:27:22.184000,1642184.0,4.0,0 days 00:01:10.409000,1
1084,848,3,11,16,0,23,0 days 00:27:22.471000,1642471.0,5.0,0 days 00:01:10.367000,1
1084,852,213,14,17,0,23,0 days 00:27:24.615000,1644615.0,4.0,0 days 00:01:10.267000,1
1084,849,3,19,18,0,23,0 days 00:27:38.753000,1658753.0,4.0,0 days 00:01:10.284000,1
1084,20,117,20,19,0,21,0 days 00:00:00,0.0,4.0,0 days 00:01:10.317000,130
1084,4,214,8,20,0,0,0 days 00:00:00,0.0,0.0,0 days 00:00:00,10
